day(from_vernal_equinox),longitude(in_degrees),latitude(in_degrees)
133,292.67388637061043,27.95915722184471
134,292.673922282431,27.959113796848147
135,292.6739599926301,27.95907063418087
136,292.6739994900434,27.959027746612794
137,292.674040762978,27.958985146832326
138,292.6740837992157,27.958942847442604
139,292.6741285860166,27.95890086095778
140,292.6741751101231,27.958859199799317
141,292.6742233577635,27.958817876292315
142,292.6742733146565,27.958776902661867
143,292.6743249660149,27.95873629102945
144,292.6743782965505,27.95869605340933
145,292.67443329047836,27.958656201705033
146,292.67448993152135,27.958616747705797
147,292.6745482029153,27.95857770308313
148,292.67460808741373,27.958539079387297
149,292.67466956729317,27.958500888043968
150,292.67473262435794,27.958463140350815
151,292.6747972399462,27.958425847474174
152,292.67486339493496,27.95838902044574
153,292.674931069746,27.958352670159314
154,292.6750002443514,27.958316807367588
155,292.6750708982799,27.958281442678974
156,292.6751430106226,27.95824658655443
157,292.67521656003925,27.958212249304413
158,292.6752915247646,27.958178441085842
159,292.67536788261475,27.958145171899027
160,292.67544561099396,27.95811245158479
161,292.6755246869009,27.95808028982153
162,292.67560508693595,27.95804869612233
163,292.67568678730777,27.95801767983222
164,292.6757697638405,27.957987250125356
165,292.67585399198083,27.957957416002326
166,292.67593944680544,27.957928186287496
167,292.676026103028,27.957899569626406
168,292.6761139350072,27.95787157448322
169,292.6762029167537,27.9578442091382
170,292.67629302193853,27.957817481685286
171,292.67638422390013,27.957791400029706
172,292.6764764956528,27.957765971885625
173,292.67656980989443,27.95774120477388
174,292.6766641390147,27.95771710601975
175,292.6767594551031,27.957693682750808
176,292.67685572995737,27.95767094189479
177,292.67695293509155,27.957648890177566
178,292.67705104174473,27.95762753412117
179,292.67715002088954,27.957606880041833
180,292.6772498432403,27.957586934048166
181,292.6773504792622,27.9575677020393
182,292.6774518991799,27.957549189703197
183,292.6775540729861,27.957531402514952
184,292.6776569704506,27.957514345735174
185,292.6777605611294,27.957498024408405
186,292.6778648143732,27.957482443361695
187,292.6779696993372,27.957467607203107
188,292.67807518498944,27.957453520320417
189,292.6781812401205,27.95744018687978
190,292.67828783335267,27.957427610824492
191,292.6783949331489,27.95741579587387
192,292.6785025078226,27.957404745522126
193,292.6786105255466,27.95739446303732
194,292.6787189543628,27.95738495146044
195,292.67882776219153,27.957376213604437
196,292.6789369168411,27.95736825205349
197,292.67904638601715,27.95736106916213
198,292.6791561373325,27.957354667054634
199,292.6792661383164,27.95734904762438
200,292.67937635642437,27.957344212533233
201,292.6794867590477,27.957340163211136
202,292.679597313523,27.957336900855633
203,292.67970798714225,27.95733442643152
204,292.67981874716196,27.957332740670576
205,292.67992956081326,27.957331844071355
206,292.6800403718082,27.95733173689903
207,292.68015119436205,27.957332419185256
208,292.68026197218427,27.9573338907283
209,292.6803726725006,27.95733615109294
210,292.6804832625598,27.957339199610704
211,292.6805937096432,27.957343035380035
212,292.6807039810743,27.957347657266535
213,292.6808140442287,27.95735306390334
214,292.68092386654354,27.957359253691493
215,292.681033415527,27.957366224800428
216,292.6811426587683,27.957373975168498
217,292.6812515639469,27.957382502503595
218,292.6813600988424,27.95739180428385
219,292.6814682313437,27.957401877758333
220,292.6815759294587,27.957412719947875
221,292.68168316132386,27.957424327645974
222,292.6817898952134,27.95743669741973
223,292.68189609954885,27.95744982561083
224,292.68200174290826,27.957463708336675
225,292.6821067940356,27.957478341491495
226,292.68221122184985,27.957493720747564
227,292.6823149954544,27.957509841556487
228,292.6824180841461,27.95752669915054
229,292.6825204574243,27.95754428854409
230,292.6826220849997,27.957562604535024
231,292.6827229368039,27.957581641706316
232,292.68282298299744,27.957601394427666
233,292.6829221939794,27.957621856857088
234,292.6830205403957,27.95764302294266
235,292.68311799314796,27.957664886424354
236,292.68321452340194,27.957687440835812
237,292.6833101025964,27.957710679506317
238,292.68340470245107,27.95773459556273
239,292.68349829497555,27.95775918193155
240,292.6835908524771,27.95778443134094
241,292.6836823475691,27.957810336322954
242,292.6837727531792,27.957836889215688
243,292.6838620425571,27.95786408216557
244,292.6839501892827,27.95789190712964
245,292.68403716727374,27.957920355877995
246,292.6841229507936,27.95794941999615
247,292.6842075144589,27.957979090887562
248,292.6842908332469,27.958009359776174
249,292.6843728825032,27.95804021770896
250,292.6844536379488,27.958071655558623
251,292.6845330756872,27.958103664026268
252,292.6846111722117,27.95813623364416
253,292.6846879044122,27.958169354778494
254,292.6847632495822,27.95820301763228
255,292.68483718542535,27.958237212248186
256,292.684909690062,27.958271928511543
257,292.684980742036,27.958307156153275
258,292.6850503203206,27.958342884752973
259,292.6851184043251,27.95837910374196
260,292.6851849739008,27.958415802406407
261,292.68525000934665,27.958452969890498
262,292.68531349141557,27.95849059519966
263,292.6853754013199,27.958528667203772
264,292.68543572073696,27.958567174640518
265,292.6854944318145,27.958606106118634
266,292.685551517176,27.958645450121335
267,292.68560695992585,27.958685195009714
268,292.68566074365424,27.958725329026134
269,292.6857128524421,27.958765840297765
270,292.68576327086595,27.958806716840044
271,292.6858119840021,27.95884794656027
272,292.68585897743145,27.9588895172611
273,292.68590423724356,27.958931416644244
274,292.6859477500409,27.958973632314034
275,292.68598950294256,27.95901615178112
276,292.68602948358836,27.95905896246615
277,292.68606768014246,27.959102051703507
278,292.68610408129666,27.95914540674503
279,292.6861386762741,27.959189014763783
280,292.686171454832,27.95923286285788
281,292.6862024072651,27.959276938054273
282,292.6862315244085,27.95932122731258
283,292.6862587976401,27.959365717528975
284,292.6862842188834,27.95941039554002
285,292.6863077806097,27.959455248126606
286,292.68632947584064,27.959500262017812
287,292.68634929815005,27.959545423894888
288,292.68636724166583,27.959590720395127
289,292.6863833010718,27.959636138115872
290,292.6863974716093,27.959681663618472
291,292.68640974907856,27.959727283432215
292,292.68642012983975,27.95977298405837
293,292.6864286108145,27.95981875197415
294,292.68643518948653,27.95986457363671
295,292.6864398639023,27.95991043548717
296,292.6864426326719,27.959956323954618
297,292.6864434949693,27.96000222546011
298,292.6864424505325,27.96004812642073
299,292.68643949966395,27.96009401325355
300,292.68643464323,27.96013987237972
301,292.686427882661,27.96018569022842
302,292.68641921995095,27.96023145324092
303,292.6864086576565,27.96027714787457
304,292.68639619889666,27.960322760606825
305,292.6863818473515,27.960368277939228
306,292.68636560726145,27.960413686401417
307,292.6863474834257,27.960458972555116
308,292.68632748120103,27.96050412299812
309,292.6863056065001,27.960549124368228
310,292.6862818657898,27.960593963347236
311,292.6862562660891,27.96063862666486
312,292.68622881496754,27.96068310110268
313,292.68619952054235,27.96072737349802
314,292.6861683914763,27.960771430747908
315,292.6861354369755,27.960815259812886
316,292.68610066678605,27.96085884772092
317,292.68606409119155,27.960902181571207
318,292.6860257210101,27.960945248538028
319,292.6859855675909,27.960988035874525
320,292.68594364281097,27.961030530916485
321,292.6858999590718,27.961072721086076
322,292.6858545292954,27.961114593895605
323,292.68580736692064,27.961156136951182
324,292.68575848589944,27.961197337956406
325,292.6857079006923,27.961238184716
326,292.68565562626424,27.96127866513945
327,292.68560167808033,27.961318767244553
328,292.68554607210126,27.961358479160975
329,292.68548882477825,27.961397789133787
330,292.68542995304864,27.96143668552694
331,292.68536947433057,27.961475156826666
332,292.68530740651795,27.96151319164498
333,292.68524376797507,27.96155077872298
334,292.6851785775313,27.961587906934202
335,292.68511185447556,27.961624565287938
336,292.6850436185503,27.961660742932473
337,292.68497388994604,27.961696429158284
338,292.6849026892952,27.961731613401277
339,292.68483003766596,27.96176628524584
340,292.6847559565563,27.961800434427975
341,292.6846804678871,27.961834050838334
342,292.6846035939963,27.96186712452523
343,292.68452535763186,27.96189964569752
344,292.6844457819451,27.96193160472762
345,292.684364890484,27.96196299215424
346,292.68428270718607,27.961993798685274
347,292.6841992563713,27.9620240152005
348,292.68411456273515,27.96205363275434
349,292.68402865134084,27.96208264257846
350,292.6839415476123,27.96211103608438
351,292.6838532773266,27.96213880486605
352,292.683763866606,27.962165940702302
353,292.6836733419108,27.962192435559324
354,292.68358173003077,27.96221828159301
355,292.6834890580779,27.962243471151307
356,292.6833953534781,27.96226799677648
357,292.68330064396275,27.96229185120732
358,292.6832049575612,27.96231502738129
359,292.6831083225918,27.962337518436634
360,292.68301076765397,27.962359317714398
361,292.6829123216194,27.962380418760418
362,292.6828130136239,27.962400815327232
363,292.6827128730583,27.96242050137592
364,292.68261192956004,27.962439471077886
365,292.6825102130044,27.962457718816637
